ts	imei	mwra	c.android.youtube	c.dogalize	c.android.gm	c.katana	c.android.chrome	c.updateassist	c.raider	c.android.vending	c.UCMobile.x86	c.UCMobile.intl
2018-05-05 10:00:00	8630330696303482410	1.00000	12.49796	15.69963	11.22929	15.43056	9.78569	22.48220	0.02278	35.29867	42.47733	87.28326
2018-05-05 10:01:00	8630330696303481263	1.00000	17.21526	13.22235	10.16279	9.80385	11.30894	66.88917	0.00526	73.50198	79.94891	91.53527
2018-05-05 10:02:00	863033069630348040	0.00000	13.34076	11.81074	13.61999	12.83213	11.18812	65.11706	0.00270	25.55843	16.18879	70.12739
2018-05-05 10:03:00	3590433799317661818	0.00000	14.98647	8.99947	13.14278	11.01669	10.83880	53.14859	0.26966	58.38489	0.46515	45.71214
2018-05-05 10:04:00	8630330696303481719	1.00000	16.69184	7.73218	15.52668	10.00304	13.28063	34.49590	0.01030	51.88443	68.44250	59.55725
2018-05-05 10:05:00	863033069630348057	1.00000	14.80127	9.94441	9.68083	12.06547	16.41582	42.89927	0.52584	34.24193	85.31428	40.31843
2018-05-05 10:06:00	359043379931766700	1.00000	13.13517	16.09028	8.94818	11.94504	13.73590	44.70349	0.03788	52.35983	6.17835	41.61768
2018-05-05 10:07:00	3590433799317662386	0.00000	12.57162	14.64373	7.06809	12.31062	9.81695	56.89257	0.00062	39.54753	95.92967	29.62039
2018-05-05 10:08:00	359043379931766221	0.00000	15.16762	12.96261	16.03177	13.89247	9.40196	90.15224	0.05624	35.78957	43.42143	34.66246
2018-05-05 10:09:00	863033069630348636	0.00000	14.70309	10.89647	16.35841	14.53663	9.36457	67.29481	0.00021	37.51082	71.85621	26.52449
2018-05-05 10:10:00	3590433799317662451	0.00000	12.88946	11.62419	13.59137	13.67901	17.50851	43.87035	0.07044	51.40697	8.40161	80.06235
2018-05-05 10:11:00	8630330696303481131	0.00000	13.73268	10.75907	15.96299	15.06370	9.82773	54.15271	12.98243	50.90900	69.87513	35.19847
2018-05-05 10:12:00	863033069630348701	0.00000	10.29878	13.34171	10.83622	10.96826	6.08268	45.47973	0.00016	37.87887	96.46331	30.43197
2018-05-05 10:13:00	359043379931766460	1.00000	15.14898	10.04420	12.23075	11.40355	14.53238	68.89643	0.57800	34.73437	60.56359	27.39617
2018-05-05 10:14:00	863033069630348164	0.00000	14.18380	9.70174	14.35187	13.97049	8.24641	70.45153	0.67757	65.08602	63.93588	88.23041
2018-05-05 10:15:00	863033069630348677	0.00000	16.09715	10.13264	15.23474	17.46144	8.54780	51.56401	0.00084	46.12156	5.90994	50.19173
2018-05-05 10:16:00	359043379931766767	1.00000	10.98341	14.19110	10.01007	9.33687	7.74650	33.28430	0.00090	53.94824	33.52014	79.08601
2018-05-05 10:17:00	863033069630348099	1.00000	13.69497	9.67005	11.46715	11.85799	14.55578	61.30612	0.02838	71.77671	73.83875	63.54312
2018-05-05 10:18:00	359043379931766890	1.00000	10.70300	9.09095	13.04957	13.73899	15.32900	34.80722	0.00739	58.71459	17.08706	42.01332
2018-05-05 10:19:00	863033069630348198	1.00000	12.18869	7.45590	13.11801	13.62025	10.97363	70.27876	1.02455	54.96537	27.03166	87.53054
2018-05-05 10:20:00	8630330696303481230	0.00000	14.88040	10.93695	11.59037	11.69236	11.45966	37.63996	0.15416	56.33443	68.46086	67.45575
2018-05-05 10:21:00	8630330696303481990	1.00000	14.49892	8.05900	14.04477	14.24384	15.18907	42.79741	0.65525	50.48364	43.94966	61.60830
2018-05-05 10:22:00	3590433799317661099	1.00000	13.83445	12.19613	10.55524	11.17260	7.99068	47.33553	0.00014	37.76411	86.51758	52.89735
2018-05-05 10:23:00	8630330696303481503	0.00000	12.42381	8.67787	11.65162	12.67353	11.76912	38.69766	0.04785	39.74524	83.97155	57.87731
2018-05-05 10:24:00	3590433799317661149	1.00000	12.22779	7.47313	16.08687	16.38470	14.65841	66.58323	0.14848	33.36875	86.98720	90.93900
2018-05-05 10:25:00	8630330696303482014	0.00000	12.14301	10.76234	15.62600	15.49006	10.74804	27.71854	0.00033	68.77041	27.98596	77.66912
2018-05-05 10:26:00	8630330696303482287	1.00000	11.82264	15.75448	12.67929	12.93561	8.73350	63.29914	0.01775	36.43958	45.77346	81.13994
2018-05-05 10:27:00	863033069630348446	0.00000	18.21278	9.97787	14.00620	14.69394	8.08187	42.12441	0.00520	57.68871	59.17639	87.48509
2018-05-05 10:28:00	3590433799317662493	0.00000	13.56450	14.00513	13.36180	9.66771	8.10828	31.55422	0.00030	48.65240	61.05494	16.69957
2018-05-05 10:29:00	8630330696303482212	0.00000	15.63911	11.67400	12.23526	14.29894	10.42451	53.06881	0.05830	45.14900	1.77836	33.56656
2018-05-05 10:30:00	3590433799317661149	1.00000	14.72434	13.25606	9.76335	11.17215	10.65958	52.84006	0.00104	47.75864	10.27069	88.58453
2018-05-05 10:31:00	863033069630348826	1.00000	14.16887	14.03555	10.55509	12.13022	8.89259	16.45972	0.00035	40.48440	48.49617	47.98845
