latitude	longitude	store_name	code	location	imei
45.4473	-73.75335	Dorval	CA	America/Toronto	3590433799317661636
-8.73508	24.99798	Kamina	CD	Africa/Lubumbashi	359043379931766288
-8.66667	-35.71667	Catende	BR	America/Recife	359043379931766635
27.9247	78.40102	Chharra	IN	Asia/Kolkata	3590433799317662469
43.86682	-79.2663	Markham	CA	America/Toronto	8630330696303481602
34.95303	-120.43572	Santa Maria	US	America/Los_Angeles	8630330696303482352
-8.73508	24.99798	Kamina	CD	Africa/Lubumbashi	863033069630348081
50.88506	4.07601	Denderleeuw	BE	Europe/Brussels	8630330696303481628
39.33427	-76.43941	Middle River	US	America/New_York	8630330696303481685
34.15429	3.50309	Messaad	DZ	Africa/Algiers	3590433799317662105
6.46838	-73.26022	Socorro	CO	America/Bogota	3590433799317661289
10.13361	124.84472	Maasin	PH	Asia/Manila	359043379931766114
12.37169	123.62494	Masbate	PH	Asia/Manila	3590433799317662220
32.9156	-117.14392	Mira Mesa	US	America/Los_Angeles	8630330696303482089
50.23271	12.87117	Karlovy Vary	CZ	Europe/Prague	863033069630348289
-38.65333	178.00417	Gisborne	NZ	Pacific/Auckland	863033069630348701
-26.93366	29.24152	Standerton	ZA	Africa/Johannesburg	863033069630348875
32.44874	-99.73314	Abilene	US	America/Chicago	8630330696303481321
44.31771	9.32241	Chiavari	IT	Europe/Rome	8630330696303481479
21.53889	71.57737	Gariadhar	IN	Asia/Kolkata	8630330696303481941
51.82721	107.60627	Ulan-Ude	RU	Asia/Irkutsk	3590433799317662428
44.22639	22.53083	Negotin	RS	Europe/Belgrade	3590433799317661883
-31.95224	115.8614	Perth	AU	Australia/Perth	3590433799317661339
44.98901	38.94324	Yablonovskiy	RU	Europe/Moscow	8630330696303481487
18.42745	-67.15407	Aguadilla	PR	America/Puerto_Rico	8630330696303481404
44.59445	11.04979	Castelfranco Emilia	IT	Europe/Rome	8630330696303481016
26.44931	91.61356	Rangia	IN	Asia/Kolkata	359043379931766429
8.43333	99.96667	Nakhon Si Thammarat	TH	Asia/Bangkok	3590433799317661776
38.72706	-9.24671	Carnaxide	PT	Europe/Lisbon	359043379931766916
32.57756	71.52847	Mianwali	PK	Asia/Karachi	359043379931766833
20.21322	-100.88023	Salvatierra	MX	America/Mexico_City	863033069630348701
43.83125	5.03586	Cavaillon	FR	Europe/Paris	3590433799317662386
-10.95817	-38.79084	Tucano	BR	America/Bahia	863033069630348768
41.66394	-83.55521	Toledo	US	America/New_York	863033069630348453
19.04222	-98.11889	Casa Blanca	MX	America/Mexico_City	359043379931766239
58.23583	92.48278	Lesosibirsk	RU	Asia/Krasnoyarsk	359043379931766221
41.09246	45.36561	Qazax	AZ	Asia/Baku	359043379931766106
48.25	16.4	Floridsdorf	AT	Europe/Vienna	8630330696303481586
39.32011	-76.51552	Rosedale	US	America/New_York	3590433799317661669
51.78771	56.36091	Saraktash	RU	Asia/Yekaterinburg	8630330696303481511
-21.44345	-65.71875	Tupiza	BO	America/La_Paz	8630330696303481347
50.23271	12.87117	Karlovy Vary	CZ	Europe/Prague	3590433799317661990
46.7055	38.2739	Yeysk	RU	Europe/Moscow	863033069630348685
41.47892	-87.45476	Schererville	US	America/Chicago	3590433799317661891
48.98693	2.44892	Gonesse	FR	Europe/Paris	3590433799317662022
57.14369	-2.09814	Aberdeen	GB	Europe/London	3590433799317661669
46.1351	-60.1831	Sydney	CA	America/Glace_Bay	8630330696303482378
50.79205	-1.08593	Southsea	GB	Europe/London	3590433799317661248
11.15583	42.7125	'Ali Sabieh	DJ	Africa/Djibouti	3590433799317662030
32.54044	-82.90375	Dublin	US	America/New_York	359043379931766502
48.79325	2.29275	Fontenay-aux-Roses	FR	Europe/Paris	8630330696303481990
52.57583	6.61944	Hardenberg	NL	Europe/Amsterdam	359043379931766577
40.34912	-111.90466	Saratoga Springs	US	America/Denver	3590433799317661479
15.46063	99.89166	Thap Than	TH	Asia/Bangkok	3590433799317661834
42.58342	-71.8023	Fitchburg	US	America/New_York	359043379931766403
14.62072	74.83554	Sirsi	IN	Asia/Kolkata	8630330696303481172
40.70995	0.57856	Amposta	ES	Europe/Madrid	8630330696303481289
54.39304	53.26023	Bavly	RU	Europe/Moscow	359043379931766361
49.593777	17.250879	Olomouc	CZ	Europe/Prague	8630330696303481156
41.6764	-91.58045	Coralville	US	America/Chicago	8630330696303481149
52.48173	-2.12139	Brierley Hill	GB	Europe/London	8630330696303481685
49.183239	15.454273	Telč	CZ	Europe/Prague	359043379931766783
32.52515	-93.75018	Shreveport	US	America/Chicago	8630330696303481412
31.78336	35.23388	East Jerusalem	PS	Asia/Hebron	8630330696303482253
44.97639	19.61222	Sremska Mitrovica	RS	Europe/Belgrade	8630330696303481214
53.81667	-3.05	Blackpool	GB	Europe/London	8630330696303482485
55.8736	85.4265	Yashkino	RU	Asia/Novokuznetsk	359043379931766114
32.44874	-99.73314	Abilene	US	America/Chicago	3590433799317661842
17.30858	97.01124	Kyaikto	MM	Asia/Yangon	359043379931766262
-20.88231	55.4504	Saint-Denis	RE	Indian/Reunion	8630330696303481222
40.65995	-111.99633	Kearns	US	America/Denver	3590433799317662022
32.54278	111.50861	Danjiangkou	CN	Asia/Shanghai	359043379931766213
51.14942	15.00835	Zgorzelec	PL	Europe/Warsaw	359043379931766577
-7.73379	113.69785	Besuki	ID	Asia/Jakarta	359043379931766841
41.92361	20.91361	Bogovinje	MK	Europe/Skopje	3590433799317661305
41.9001	-71.08977	Taunton	US	America/New_York	8630330696303481248
49.03685	8.70745	Bretten	DE	Europe/Berlin	3590433799317661008
55.75556	60.70278	Ozersk	RU	Asia/Yekaterinburg	3590433799317661164
-7.54972	110.71639	Ngemplak	ID	Asia/Jakarta	3590433799317661388
39.96348	-4.83076	Talavera de la Reina	ES	Europe/Madrid	8630330696303481271
32.61603	44.02488	Karbala	IQ	Asia/Baghdad	3590433799317661297
26.91756	-82.07842	Punta Gorda Isles	US	America/New_York	3590433799317661909
51.04962	12.1369	Zeitz	DE	Europe/Berlin	3590433799317662089
45.4473	-73.75335	Dorval	CA	America/Toronto	8630330696303481792
47.48444	36.25361	Polohy	UA	Europe/Zaporozhye	3590433799317662295
43.62558	13.39954	Falconara Marittima	IT	Europe/Rome	863033069630348057
-31.4488	-60.93173	Esperanza	AR	America/Argentina/Cordoba	3590433799317661073
47.90771	106.88324	Ulan Bator	MN	Asia/Ulaanbaatar	359043379931766395
52.71083	5.74861	Emmeloord	NL	Europe/Amsterdam	863033069630348578
-23.44361	-51.87389	Sarandi	BR	America/Sao_Paulo	3590433799317661248
54.84444	38.16694	Kashira	RU	Europe/Moscow	8630330696303482311
41.84364	-87.71255	South Lawndale	US	America/Chicago	359043379931766502
38.54491	-121.74052	Davis	US	America/Los_Angeles	8630330696303481602
51.26	-2.1875	Westbury	GB	Europe/London	863033069630348362
45.44694	8.62118	Novara	IT	Europe/Rome	863033069630348107
51.82721	107.60627	Ulan-Ude	RU	Asia/Irkutsk	863033069630348347
34.25628	-78.04471	Leland	US	America/New_York	863033069630348594
39.00622	-77.4286	Sterling	US	America/New_York	359043379931766361
32.42067	-104.22884	Carlsbad	US	America/Denver	359043379931766999
22.98212	-80.58556	Corralillo	CU	America/Havana	3590433799317662105
35	136.51667	Komono	JP	Asia/Tokyo	8630330696303482121
33.86419	48.26258	Aleshtar	IR	Asia/Tehran	8630330696303481743
32.55531	76.12647	Chamba	IN	Asia/Kolkata	8630330696303481990
33.41012	-91.06177	Greenville	US	America/Chicago	359043379931766437
48.07667	8.64409	Trossingen	DE	Europe/Berlin	3590433799317661875
9.57046	76.32756	Kalavoor	IN	Asia/Kolkata	3590433799317661321
-33.75881	150.99292	Baulkham Hills	AU	Australia/Sydney	8630330696303481602
53.0233	-1.48119	Belper	GB	Europe/London	3590433799317661248
17.54907	82.85749	Elamanchili	IN	Asia/Kolkata	359043379931766650
15.73628	75.96976	Gajendragarh	IN	Asia/Kolkata	3590433799317661586
9.91861	-68.30472	Tinaquillo	VE	America/Caracas	3590433799317661446
40.55851	17.80774	Mesagne	IT	Europe/Rome	3590433799317662113
52.86147	9.5926	Walsrode	DE	Europe/Berlin	8630330696303482212
18.65297	-72.09391	Thomazeau	HT	America/Port-au-Prince	3590433799317661446
23.07492	88.28637	Pandua	IN	Asia/Kolkata	359043379931766536
53.78333	-1.06667	Selby	GB	Europe/London	3590433799317661354
-37.88333	145.06667	Carnegie	AU	Australia/Melbourne	863033069630348123
-26.22861	-52.67056	Pato Branco	BR	America/Sao_Paulo	8630330696303482329
60.02427	30.28491	Kolomyagi	RU	Europe/Moscow	8630330696303482071
22.4711	88.1453	Pujali	IN	Asia/Kolkata	863033069630348149
14.62072	74.83554	Sirsi	IN	Asia/Kolkata	8630330696303481883
37.51803	15.00913	Misterbianco	IT	Europe/Rome	863033069630348677
68.79833	16.54165	Harstad	NO	Europe/Oslo	8630330696303481354
10.29085	105.75635	Sa Dec	VN	Asia/Ho_Chi_Minh	3590433799317662287
30.35028	112.19028	Jingzhou	CN	Asia/Shanghai	863033069630348040
14.67751	-60.94228	Le Robert	MQ	America/Martinique	3590433799317662022
44.75874	19.21437	Bijeljina	BA	Europe/Sarajevo	3590433799317661446
48.46458	9.22796	Pfullingen	DE	Europe/Berlin	8630330696303481917
36.75965	137.36215	Namerikawa	JP	Asia/Tokyo	359043379931766262
-22.97056	-46.99583	Valinhos	BR	America/Sao_Paulo	3590433799317661495
22.10194	85.37752	Barbil	IN	Asia/Kolkata	359043379931766932
52.53048	13.29371	Charlottenburg-Nord	DE	Europe/Berlin	3590433799317661925
46.23899	-63.13414	Charlottetown	CA	America/Halifax	8630330696303481750
31.84568	-102.36764	Odessa	US	America/Chicago	863033069630348636
-4.06667	37.73333	Same	TZ	Africa/Dar_es_Salaam	3590433799317662345
-23.7975	-48.59278	Buri	BR	America/Sao_Paulo	8630330696303482030
44.99012	-123.02621	Keizer	US	America/Los_Angeles	8630330696303481420
-54.8	-68.3	Ushuaia	AR	America/Argentina/Ushuaia	8630330696303482279
38.96667	-0.18333	Gandia	ES	Europe/Madrid	8630330696303481107
52.47774	10.5511	Gifhorn	DE	Europe/Berlin	359043379931766478
38.40917	112.73333	Xinzhou	CN	Asia/Shanghai	3590433799317661578
41.72059	-87.70172	Evergreen Park	US	America/Chicago	8630330696303482410
41.27621	-72.86843	East Haven	US	America/New_York	3590433799317661743
53.00974	-3.05814	Rhosllanerchrugog	GB	Europe/London	8630330696303482113
20.22816	-103.5687	Zacoalco de Torres	MX	America/Mexico_City	359043379931766015
41.94175	123.50266	Hushitai	CN	Asia/Shanghai	3590433799317662436
36.91023	-121.75689	Watsonville	US	America/Los_Angeles	863033069630348834
52.66277	-2.01111	Great Wyrley	GB	Europe/London	359043379931766718
-31.25033	-61.4867	Rafaela	AR	America/Argentina/Cordoba	8630330696303482071
38.91817	-78.19444	Front Royal	US	America/New_York	3590433799317661230
41.54566	-71.29144	Middletown	US	America/New_York	863033069630348743
0.76755	24.43973	Yangambi	CD	Africa/Lubumbashi	359043379931766932
34.31	-2.16	Jerada	MA	Africa/Casablanca	863033069630348222
