ts	imei	mwra	p.android.chrome	p.android.settings	p.android.documentsui	p.system	p.android.externalstorage	p.android.packageinstaller	p.android.gm	p.dogalize	p.olauncher	p.process.gapps	p.google	p.android.defcontainer	p.android.vending	p.simulator	p.gms.persistent	p.katana	p.inputmethod.latin	p.android.gms	p.notifier	p.browser.provider
2018-05-05 10:00:00	8630330696303482410	1.00000	12.60670	7.75053	12.60289	11.39669	8.53696	13.08574	10.99633	52.73857	61.68874	62.52246	0.91643	89.60742	10.31567	29.44111	8.46481	5.79452	6.52861	75.36860	18.80621	28.06936
2018-05-05 10:01:00	8630330696303481263	1.00000	11.12186	9.19399	15.54735	14.30479	10.29772	14.70318	10.01004	41.06332	65.68638	73.11930	92.09684	30.25223	84.06277	65.75343	1.60968	87.38387	31.71870	40.30097	30.82867	21.03912
2018-05-05 10:02:00	863033069630348040	0.00000	10.44629	13.18176	11.20261	7.84301	10.99527	12.61226	17.91959	56.99389	49.83496	60.91605	56.64994	65.38164	69.28464	45.91827	20.98636	53.07392	74.02184	5.26549	84.03716	89.57759
2018-05-05 10:03:00	3590433799317661818	0.00000	15.08171	14.73477	16.30407	8.83813	9.30270	10.49491	12.84341	46.36447	73.33861	62.94917	86.47507	43.25582	55.09011	48.84056	2.26607	45.68872	55.58316	82.64208	58.47278	49.50029
2018-05-05 10:04:00	8630330696303481719	1.00000	11.80640	11.40154	14.47270	8.52321	14.94593	12.08085	14.35623	56.52199	40.92982	48.17391	42.38665	88.46792	69.94191	3.09925	54.39320	71.38565	90.01363	52.42943	0.39754	98.65366
2018-05-05 10:05:00	863033069630348057	1.00000	15.74968	11.16128	11.78738	11.82840	12.87019	17.09414	9.17168	52.38984	46.41006	41.51649	25.43062	67.39951	78.47861	64.43405	77.92238	79.44712	27.63336	84.44841	14.77434	63.22719
2018-05-05 10:06:00	359043379931766700	1.00000	13.11693	10.11670	15.14869	14.79492	10.03955	14.75143	10.58290	51.88888	59.27257	69.55242	38.81441	61.30094	79.57385	37.15090	3.59337	61.40647	8.45752	79.50935	1.20307	87.90299
2018-05-05 10:07:00	3590433799317662386	0.00000	8.74271	12.07309	13.74133	18.40800	5.36921	11.95980	9.93685	65.31364	39.24262	39.93859	58.50913	33.68747	97.76014	4.65861	73.53097	21.56976	81.16496	87.41733	22.18456	13.65915
2018-05-05 10:08:00	359043379931766221	0.00000	13.51183	16.91846	15.71146	11.61793	8.66846	11.47788	12.00575	37.35854	75.06067	70.71320	54.24914	86.68170	54.93120	77.79529	64.90825	75.27399	14.99592	29.94900	77.47023	64.08828
2018-05-05 10:09:00	863033069630348636	0.00000	6.88044	14.57079	7.30334	12.73068	15.01470	13.99268	12.20165	40.26031	55.87176	53.84021	70.43957	92.26155	80.76228	26.26093	60.31539	60.23915	51.99570	12.12903	89.04586	18.99650
2018-05-05 10:10:00	3590433799317662451	0.00000	13.73890	13.31020	9.46351	14.38011	11.50582	12.39622	9.03210	60.28983	67.94634	61.91259	91.37139	47.01890	9.50950	86.68461	16.74903	26.41083	6.31492	73.70370	46.73363	27.48943
2018-05-05 10:11:00	8630330696303481131	0.00000	18.95621	15.54379	15.62140	7.16448	12.84421	8.93625	10.36061	41.59582	45.28679	76.82311	91.96506	87.60870	67.19020	53.63864	1.82813	4.22760	65.73496	96.08612	85.24765	65.01775
2018-05-05 10:12:00	863033069630348701	0.00000	6.91363	9.91908	15.98450	13.22193	11.15474	15.01418	10.20038	48.07244	49.24639	47.46988	57.49045	66.43880	40.68903	98.73632	40.10861	55.79067	79.60949	95.76145	28.20764	27.62213
