ts	imei	mwra	c.android.youtube	c.dogalize	c.android.gm	c.katana	c.android.chrome	c.updateassist	c.raider	c.android.vending	c.UCMobile.x86	c.UCMobile.intl
1526121900	359043379931766155	0.0	15.00412	8.59341	13.96878	14.54467	8.34865	62.30167	0.0011	53.46192	6.80578	37.59592
1525962360	3590433799317661586	1.0	15.5788	11.14061	12.20745	12.22052	13.36533	67.06327	0.2868	49.17663	55.8586	88.07825
1525934820	359043379931766825	0.0	12.94031	12.50979	15.1746	15.08152	8.03507	50.5329	0.00145	42.63382	29.73709	97.78355
1525956240	3590433799317661487	1.0	15.12787	14.84975	9.94822	12.75784	12.50238	42.78025	0.28449	51.06901	43.03903	35.51258
1526156220	3590433799317661834	1.0	15.44315	14.84543	6.62671	11.40175	13.5896	42.21101	0.01176	41.49399	12.15728	31.44087
1525974480	359043379931766395	1.0	10.83039	15.55585	9.24603	15.64803	7.11243	50.10573	0.0017	59.01724	84.55128	41.57309
1526061060	359043379931766536	1.0	16.1144	14.7782	9.38154	8.70176	18.05168	57.53749	0.13055	56.81348	29.99938	32.46236
1525956360	3590433799317661636	0.0	15.6921	11.78419	13.31944	12.16817	10.55378	71.14982	0.05463	42.63513	40.96043	32.10054
1525918620	359043379931766973	1.0	15.31161	10.8581	15.45487	14.04139	15.17134	43.34774	0.39488	68.59633	75.70996	57.16308
1526220180	3590433799317661974	0.0	15.16502	10.72862	12.83094	14.41826	8.61795	54.73156	0.00887	62.36396	21.14155	57.98274
1526232060	359043379931766403	0.0	14.77201	9.9594	12.78332	17.36987	9.31906	48.28898	0.00204	22.39401	43.26217	10.3632
1526314260	3590433799317662485	1.0	13.97796	8.17043	13.41065	13.5215	11.1922	47.83079	0.00114	61.10537	27.30337	60.46892
1525777320	3590433799317661164	1.0	16.17711	9.73746	13.97034	13.92948	11.04483	53.58412	0.06621	64.48989	8.1528	93.80327
1526145240	8630330696303482048	0.0	12.98406	9.15456	12.13131	13.00504	11.52096	58.60701	0.47964	50.80251	56.77611	49.24579
1525567860	359043379931766650	1.0	10.59864	13.99065	11.16719	13.36105	12.96702	52.3023	0.00866	76.26635	73.73481	59.70813
1526027280	3590433799317662097	0.0	13.58123	13.33801	9.0741	9.45307	9.78585	51.84934	0.00431	34.21149	16.80073	57.86187
