latitude 	longitude 	store_name	code	location	imei               
45.4473  	-73.75335 	211.0     	17.0	86.0    	3.5904337993176617e+18
-8.73508 	24.99798  	375.0     	18.0	25.0    	3.590433799317663e+17
-8.66667 	-35.71667 	146.0     	14.0	80.0    	3.5904337993176666e+17
27.9247  	78.40102  	158.0     	57.0	106.0   	3.5904337993176627e+18
43.86682 	-79.2663  	482.0     	17.0	86.0    	8.630330696303482e+18
34.95303 	-120.43572	703.0     	122.0	63.0    	8.630330696303482e+18
-8.73508 	24.99798  	375.0     	18.0	25.0    	8.63033069630348e+17
50.88506 	4.07601   	200.0     	10.0	140.0   	8.630330696303482e+18
39.33427 	-76.43941 	498.0     	122.0	73.0    	8.630330696303482e+18
34.15429 	3.50309   	495.0     	34.0	3.0     	3.590433799317662e+18
6.46838  	-73.26022 	750.0     	26.0	42.0    	3.590433799317661e+18
10.13361 	124.84472 	466.0     	93.0	111.0   	3.5904337993176614e+17
12.37169 	123.62494 	486.0     	93.0	111.0   	3.590433799317662e+18
32.9156  	-117.14392	505.0     	122.0	63.0    	8.630330696303482e+18
50.23271 	12.87117  	383.0     	29.0	156.0   	8.630330696303483e+17
-38.65333	178.00417 	275.0     	89.0	174.0   	8.630330696303487e+17
-26.93366	29.24152  	767.0     	129.0	17.0    	8.630330696303489e+17
32.44874 	-99.73314 	2.0       	122.0	45.0    	8.630330696303481e+18
44.31771 	9.32241   	159.0     	60.0	157.0   	8.630330696303482e+18
21.53889 	71.57737  	263.0     	57.0	106.0   	8.630330696303482e+18
51.82721 	107.60627 	838.0     	102.0	101.0   	3.590433799317662e+18
44.22639 	22.53083  	540.0     	101.0	137.0   	3.5904337993176617e+18
-31.95224	115.8614  	614.0     	6.0 	133.0   	3.590433799317661e+18
44.98901 	38.94324  	891.0     	102.0	153.0   	8.630330696303482e+18
18.42745 	-67.15407 	9.0       	96.0	79.0    	8.630330696303482e+18
44.59445 	11.04979  	144.0     	60.0	157.0   	8.630330696303481e+18
26.44931 	91.61356  	655.0     	57.0	106.0   	3.590433799317664e+17
8.43333  	99.96667  	531.0     	113.0	91.0    	3.5904337993176617e+18
38.72706 	-9.24671  	140.0     	98.0	148.0   	3.590433799317669e+17
32.57756 	71.52847  	497.0     	94.0	105.0   	3.5904337993176685e+17
20.21322 	-100.88023	686.0     	81.0	71.0    	8.630330696303487e+17
43.83125 	5.03586   	147.0     	41.0	155.0   	3.590433799317662e+18
-10.95817	-38.79084 	824.0     	14.0	40.0    	8.630330696303488e+17
41.66394 	-83.55521 	815.0     	122.0	73.0    	8.630330696303484e+17
19.04222 	-98.11889 	143.0     	81.0	71.0    	3.590433799317662e+17
58.23583 	92.48278  	443.0     	102.0	107.0   	3.590433799317662e+17
41.09246 	45.36561  	645.0     	7.0 	90.0    	3.590433799317661e+17
48.25    	16.4      	244.0     	5.0 	165.0   	8.630330696303482e+18
39.32011 	-76.51552 	669.0     	122.0	73.0    	3.5904337993176617e+18
51.78771 	56.36091  	707.0     	102.0	127.0   	8.630330696303482e+18
-21.44345	-65.71875 	828.0     	13.0	61.0    	8.630330696303482e+18
50.23271 	12.87117  	383.0     	29.0	156.0   	3.590433799317662e+18
46.7055  	38.2739   	898.0     	102.0	153.0   	8.630330696303487e+17
41.47892 	-87.45476 	715.0     	122.0	45.0    	3.5904337993176617e+18
48.98693 	2.44892   	278.0     	41.0	155.0   	3.590433799317662e+18
57.14369 	-2.09814  	1.0       	43.0	149.0   	3.5904337993176617e+18
46.1351  	-60.1831  	783.0     	17.0	53.0    	8.630330696303483e+18
50.79205 	-1.08593  	762.0     	43.0	149.0   	3.590433799317661e+18
11.15583 	42.7125   	0.0       	31.0	13.0    	3.590433799317662e+18
32.54044 	-82.90375 	212.0     	122.0	73.0    	3.590433799317665e+17
48.79325 	2.29275   	245.0     	41.0	155.0   	8.630330696303482e+18
52.57583 	6.61944   	301.0     	87.0	135.0   	3.590433799317666e+17
40.34912 	-111.90466	709.0     	122.0	48.0    	3.5904337993176617e+18
15.46063 	99.89166  	805.0     	113.0	91.0    	3.5904337993176617e+18
42.58342 	-71.8023  	243.0     	122.0	73.0    	3.590433799317664e+17
14.62072 	74.83554  	746.0     	57.0	106.0   	8.630330696303481e+18
40.70995 	0.57856   	29.0      	38.0	150.0   	8.630330696303481e+18
54.39304 	53.26023  	72.0      	102.0	153.0   	3.5904337993176634e+17
49.593777	17.250879 	580.0     	29.0	156.0   	8.630330696303481e+18
41.6764  	-91.58045 	174.0     	122.0	45.0    	8.630330696303481e+18
52.48173 	-2.12139  	114.0     	43.0	149.0   	8.630330696303482e+18
49.183239	15.454273 	800.0     	29.0	156.0   	3.590433799317668e+17
32.52515 	-93.75018 	736.0     	122.0	45.0    	8.630330696303482e+18
31.78336 	35.23388  	217.0     	97.0	98.0    	8.630330696303482e+18
44.97639 	19.61222  	764.0     	101.0	137.0   	8.630330696303481e+18
53.81667 	-3.05     	95.0      	43.0	149.0   	8.630330696303483e+18
55.8736  	85.4265   	895.0     	102.0	112.0   	3.5904337993176614e+17
32.44874 	-99.73314 	2.0       	122.0	45.0    	3.5904337993176617e+18
17.30858 	97.01124  	421.0     	76.0	126.0   	3.590433799317663e+17
