ts,imei,mwra,c.android.youtube,c.dogalize,c.android.gm,c.katana,c.android.chrome,c.updateassist,c.raider,c.android.vending,c.UCMobile.x86,c.UCMobile.intl
1525920420,8630330696303482097,1.0,14.32056,8.79632,13.76916,12.86463,15.36327,49.78539,0.10885,68.73893,48.97195,21.20024
1526328780,8630330696303481891,1.0,13.03785,14.79128,10.6007,9.46356,11.09769,37.23914,0.01224,36.74074,92.84587,95.99397
1525760040,3590433799317661511,1.0,15.01947,12.64437,15.76206,13.38159,11.46664,49.36456,0.2339,65.89548,28.83369,89.31316
1525697280,3590433799317661016,0.0,13.33891,11.10246,16.37535,16.88293,9.73716,60.23825,0.24707,25.22743,83.85478,95.61953
1526259960,359043379931766908,1.0,10.87249,14.36172,13.39433,10.43277,10.20138,66.13837,0.00077,60.42449,13.32379,45.20967
1525585560,3590433799317662394,1.0,12.61376,9.46779,14.68059,14.74605,14.83357,49.298,0.03684,40.753,50.68798,94.03093
1526344020,8630330696303481594,0.0,13.23812,7.28176,13.86666,12.52944,11.52925,59.54664,2.94964,60.56003,97.45182,72.09499
1526365380,3590433799317662055,1.0,15.20168,14.92227,9.0384,13.73098,10.20481,58.44948,0.00912,70.87689,5.26699,7.3731
1525693200,8630330696303482196,1.0,14.77883,9.60428,12.96152,13.2027,12.53017,57.92412,0.04906,44.14263,68.53428,13.19159
1526123040,8630330696303481321,1.0,13.67504,11.05125,15.54185,14.5784,11.27851,60.45496,0.04253,58.44363,76.04636,81.90281
1525557360,359043379931766114,0.0,16.97857,9.26912,14.41021,14.46193,8.38964,72.45044,0.00364,49.22993,62.87465,31.62745
1525706580,3590433799317662188,1.0,16.20778,10.99972,13.39392,13.01671,12.25647,69.4272,0.20036,49.9535,21.2423,75.8229
1525550100,359043379931766197,1.0,11.60478,12.4363,16.57173,15.11437,14.70554,48.89899,0.06408,61.62222,26.05673,51.55057
1526294220,863033069630348602,1.0,11.31875,13.51364,12.36093,9.27846,8.27669,41.04574,0.01686,51.40411,92.42177,34.18367
1526097240,863033069630348032,1.0,15.26311,10.33533,13.67459,13.81961,13.79868,61.76841,0.68383,69.6556,76.5914,44.66701
1525666500,863033069630348313,1.0,12.70996,8.53086,8.71907,12.9653,16.31367,55.98532,0.06396,17.86226,54.59935,44.43413
1525828920,8630330696303481974,1.0,15.09136,13.86606,9.76945,10.75514,10.40634,49.48143,0.0035,56.36977,69.63011,6.54974
1525836720,863033069630348081,1.0,13.42407,10.17366,12.60735,14.59612,9.09183,35.70588,0.12325,32.85845,55.00194,47.07784
1525735320,863033069630348651,1.0,14.87173,14.22105,13.41137,9.04882,12.15954,40.04133,0.00017,47.53774,48.16242,5.80522
1526399340,8630330696303481552,0.0,14.13801,11.60255,12.37134,13.17373,10.81705,51.82092,0.00165,42.12519,8.64684,88.34677
1526118600,3590433799317661115,1.0,13.42664,14.52684,8.95456,10.73195,12.8946,85.36991,0.27036,62.98402,39.71847,59.22569
1525531380,3590433799317661099,0.0,14.96748,7.13155,16.55678,12.07238,11.6246,41.62531,0.00346,48.00863,37.40698,9.79072
1525717680,3590433799317661073,0.0,11.48408,13.40172,14.87714,15.46751,11.58574,73.30495,0.44934,51.92375,28.59231,11.69659
1526078040,3590433799317661321,1.0,13.9108,13.62002,5.51117,11.3243,8.47646,51.76928,0.02503,26.36325,56.61961,17.39077
1526012340,8630330696303481800,0.0,15.43829,10.8742,13.29936,12.17356,11.52404,49.04412,0.02643,66.37834,20.13657,35.91932
1526400180,863033069630348701,1.0,14.41405,9.46485,14.698,15.48774,15.57425,40.68253,0.67752,20.76624,74.58945,18.35231
1525721100,3590433799317661354,0.0,13.46603,10.12711,7.64583,14.72005,8.83038,49.07472,0.00028,61.18605,41.44274,40.63817
1526128980,359043379931766056,1.0,16.99039,8.12883,16.69752,15.03605,10.70812,82.83638,1.62388,67.42418,38.31841,17.20165
1525969800,3590433799317662352,1.0,13.60049,13.61716,8.18661,10.30945,11.2114,63.90016,0.00958,50.4926,57.18273,70.95469
1526248080,3590433799317662238,0.0,13.84617,13.74717,9.58354,11.29878,9.62758,74.56332,0.00911,67.8952,47.04136,2.62712
1525987020,8630330696303482162,0.0,13.748,11.15742,10.72522,13.89834,11.64394,22.8919,0.01714,79.05627,11.09823,52.6022
1526227800,8630330696303481727,1.0,17.32815,10.36845,13.65623,12.54476,16.52408,38.93217,0.56888,70.66663,5.80803,30.01873
1525963140,3590433799317662121,1.0,12.103,11.76654,11.07996,13.66553,17.57986,34.61462,0.17697,74.46253,51.14292,83.76537
